language_id|majorType_id|name|description
nb|T1|Nakent berg|"Nakent berg er normal hovedtype på fast fjell i dagen, det vil si uten jorddekke. Nakent berg kan være vegetasjonsfritt (i svært langsom eller retardert suksesjon på grunn av disruptivt miljøstress eller forstyrrelse) eller, oftere, er nakent berg mer eller mindre dekket av vegetasjon dominert av moser og lav. Spredte karplanter kan forekomme. Nakent berg omfatter variasjon fra flatberg (fast fjell i dagen tilnærmet uten helning) via sva eller bergknaus (fast fjell i dagen med mindre helning enn bergvegg, men større helning enn flatberg) til bergvegg (loddrette eller nesten loddrette eller overhengende bergflater). Nakent berg forekommer ofte i mosaikk med naturtyper på mark med grunt jorddekke; T2 Åpen grunnlendt naturmark kan f.eks. inngå i større bergvegg-komplekser i form av jorddekte berghyller. På svært fin romlig skala kan nakent berg inneholde naturkomponenter som berghyller uten tilstrekkelig jorddekke til å huse en vegetasjon dominert av karplanter (elementer av flatberg omgitt av bergvegg) og bergsprekker (elementer av forsenkning eller innskjæring i fast fjell, omgitt av bergvegg, sva eller flatberg). Bergsprekker, hulrom, små overheng etc. som inngår som mikroelementer i nakne bergflater eller bergvegger, tilhører arealenheten av nakent berg når de er omgitt av nakent berg på alle kanter. Når de har minst én kant felles med et annet natursystem på jorddekt mark (f.eks. ‘lommer’ innunder nedre kant av en bergvegg der denne går over i skogbunn), tilordnes disse det andre natursystemet.\n\tInnenfor nakent berg finnes mer eller mindre kontinuerlig variasjon langs tre særlig viktige LKM som er normale lokale hovedkompleksmiljøvariabler på ikke jorddekt fastmark: kalkinnhold (KA), uttørkingseksponering (UE) og overrisling (OR). Hovedtypen omfatter dessuten variasjon langs en rekke tLKM som ikke gir opphav til artssammensetning som er vesentlig forskjellig mellom sammenliknbare naturtyper for endetrinnene innenfor nakent berg. Disse tLKM definerer grunntyper for berg i landstrand-delen av flomsonen langs elver og innsjøer, fosseberg, fugleberg og fuglesteiner, som har vært oppfattet som egne hovedtyper i tidligere framlegg til typeinndeling i NiN. Analyser (se NiN[2] Artikkel 2, kapittel B14) viser imidlertid at artssammensetningen ikke gir tilstrekkelig grunnlag for å skille ut egne hovedtyper for disse."
en|T20|Kettle-hole frost heath|Kettle-hole frost heath includes naturally open (treeless) heath-like vegetation in the bottom of well-drained terrain depressions, most typically found in kettle-holes formed in thick glacifluvial deposits. The typical occurrence of hummocks without peat formation suggests that frost processes are important, most likely conditioned on influx of surface water on frozen ground in the autumn or early winter. Frost heath is typically found in continental climates in the middle and north boreal, and low alpine bioclimatic zones.
nb|T20|Isinnfrysingsmark|Isinnfrysingsmark er åpen fastmark med hei- eller engpreg i eller nær bunnen av forsenkninger i terrenget (fortrinnsvis dødisgroper), som i perioder kan dekkes av stagnerende vann og i blant fryse inn i is om vinteren.
en|T21|Sand dune|The sand-dune major type comprises all naturally open (treeless) parts of sand-dune systems, from unstable, bare sand to established dune meadows and heaths. Sand dunes are dynamic ecosystems formed when strong winds provide continuous supply of sand from an extensive sand source, most often marine sediments near the coast. Accordingly, sand dunes are found along the coast in moderately exposed sites, occasionally also along large rivers that run through sand-dominated glacifluvial deposits. With increasing distance from the sand source the substrate gradually stabilizes due to reduced wind speed and reduced sand supplies. Accordingly, a distinct vegetation zonation is formed, when fully developed comprising bare sandy shore, embryonal, primary, white, gray and brown dunes and dune heath. Dune slacks may arise after erosion of dune meadows down to the groundwater table. 
nb|T21|Sanddynemark|Sanddynemark omfatter åpne områder, fortrinnsvis men ikke nødvendigvis nær kysten, med mer eller mindre ustabilt og sanddominert substrat. Sanddynemarka er et helt særpreget, dynamisk økosystem hvis funksjon er betinget av stadig tilførsel av ny sand (oftest fra havet) med sterke vinder. Større områder med sanddynemark som forekommer i tilknytning til havet framviser oftest variasjon langs en dynestabiliseringsgradient [sandstabilisering (SS)] fra stranda innover land. Langs denne gradienten, som til dels er en primærsuksesjonsgradient, avtar sandtilførselen mens substratstabiliteten og jordsmonnstjukkelsen gradvis øker. Et stykke inne på land er sanda så stabil at sanddynemarka utvikler seg til fastmarksskogsmark (dersom den ikke gjøres om til jordbruksmark gjennom hevd).
en|T22|Arctic-alpine dry-grass heath|Arctic-alpine dry-grass heath comprises land in the mountains and in the Arctic dominated by graminoids like Juncus trifidus, Festuca ovina and Carex bigelowii with a bottom layer dominated by Cetraria islandica and Stereocaulon spp. Juncus trifidus, which is the major dominant, gives this major type a distinctive reddish brown colour in late summer and fall. Arctic-alpine dry-grass heath typically replaces the arctic-alpine heath and lee-side major type (T3) at the transition from the low-alpine to the middle-alpine bioclimatic zone, when dominant species of T3 such as Vaccinium myrtillus reach their altitudinal limit and/or give in to unstable soils. Solifluction is assumed to be an important conditioning factor; the major type is also found at lower elevations in sites with unstable soils.
nb|T22|Fjellgrashei og grastundra|Fjellgrashei og fjellgrastundra omfatter mark i fjellet og i Arktis dominert eller med spredt forekomst av ‘tørrgras’ som f.eks. rabbesiv (Juncus trifidus), sauesvingel (Festuca ovina) og stivstarr (Carex bigelowii), typisk med et dekkende lavsjikt dominert av islandslav (Cetraria islandica) og saltlav (Stereocaulon spp.). Fjellgrashei og grastundra erstatter T3 Fjellhei, leside og tundra i øvre del av lavalpin og overgangen mellom lavalpin og mellomalpin bioklimatisk sone i midtre deler av ‘rabbe-snøleiegradienten’, over et intervall som strekker seg fra fjell-lavhei til moderat snøleie. Overgangen på fastmark mellom lavalpine heier, lesider og typiske moderate snøleier og tørrgrasheiene ovenfor er oftest relativt skarp og fysiognomisk så tydelig markert i hele fjellkjeden at den er et klassisk skillekriterium mellom lavalpin og mellomalpin bioklimatisk sone. Det er fortsatt ikke helt klart hvilke miljøforhold som betinger dette skillet, men Dahl (1957) sannsynliggjør at jordflyt er en viktig medvirkende årsak.
en|T23|Freshwater driftline|Freshwater driftline comprises the rarely occurring, more or less permanent accumulations of coarse organic matter in the upper ge littoral and surpralittoral belts along large lakes.
nb|T23|Ferskvannsdriftvoll|Ferskvannsdriftvoll forekommer spredt i supralitoral- og øvre geolitoralbeltet langs store innsjøer som tilføres betydelige mengder mer eller mindre grovt organisk materiale, f.eks. kvister, lauv, rakler, pollen mv. Ferskvannsdriftvoller har relativt klare likheter med driftvoll i saltvannssystemer, og i likhet med disse sterkt innslag av nitrofile arter, deriblant karakteristiske pionérarter som f.eks. sumpforglemmegei (Myosotis laxa), vasspepper (Persicaria hydropiper) og nikkebrønsle (Bidens cernua).
en|T24|Coastal driftline|Coastal driftline comprises accumulated organic matter, mostly sea weed and kelp, in the upper geolittoral and supralittoral belts on exposed shores. Coastal driftlines may support a vegetation of annual or perennial plants. Soil layers may be shallow or thick, consisting mainly of organic matter with high nitrogen and phosphorus contents.
nb|T24|Driftvoll|"Driftvoller (tangvoller) er natursystemer som finnes i øvre del av fjærebeltet (øvre geolitoral- og supralitoralbeltet). Driftvoller opprettholdes permanent eller tilstrekkelig lenge til at de tilfredsstiller kravet til et natursystem (varighet i minst 6 år) på steder der tilførselen av organisk materiale (først og fremst tang og tare) fra havet er stor og relativt forutsigbar. Mengden tilført materiale må være stor nok til at materiale samler seg opp, det vil si at det må tilføres mer enn det som brytes ned, eller vaskes vekk igjen (av brenningene) eller blåser bort.\n\t En driftvoll kjennetegnes ved svært høy tilgjengelighet på nitrogen og fosfor. Substratet er mer eller mindre ustabilt på grunn av stadige tilførsler av nytt driftmateriale og fordi driftmaterialet er utsatt for bølge- og vinderosjon. Høyt organisk innhold, oftest mørk farge og rask kjemisk nedbrytning, gjør at det driftmaterialet på varme sommerdager kan bli varmet opp til svært høye temperaturer. Driftvollene har gjennomgående høyere substrattemperatur enn omgivelsene omkring, på grunn av varmeproduksjon ved den kjemiske nedbrytningen. Dette er sannsynligvis en av de viktigste årsakene til driftvollenes spesielle artssammensetning. \n\tBåde mengden av tilført driftmateriale og forstyrrelsesintensiteten (faren for sedimentasjon og erosjon) varierer mye, både mellom ulike driftvoller og innen den enkelte driftvoll). Derfor er det stor variasjon innenfor natursystem-hovedtypen driftvoll, både i egenskaper, arealenhetenes utstrekning og deres artssammensetning. Langs deler av kysten med stor tidevannsamplitude (Midt- og Nord-Norge) kan driftvollene være permanente i en lengde av flere kilometer langs kystlinja og ha en betydelig bredde. Den andre ytterligheten med hensyn til størrelse og varighet utgjøres av driftvoll-fragmenter (for eksempel en tang- eller tarevase som er skylt opp på ei steinstrand), som utgjør små naturkomponenter innenfor andre hovedtyper av natursystemer i fjærebeltet. \n\tArtssammensetningen i driftvoller gjenspeiler den høye forstyrrelsesintensiteten; arter med kort livssyklus og høy reproduksjon dominerer oftest, men innslaget av flerårige arter øker langs en gradient i forstyrrelsesintensitet. Mange varmekrevende organismer har relativt ’stabile’ populasjoner mye lengre mot nord på/i driftvoller enn i andre natursystem-hovedtyper. Eksempler på dette er karplante-artene åkerdylle (Sonchus arvensis), smånesle (Urtica urens) og kveke (Elytrigia repens). Driftvoller har ofte også en fauna med rik forekomst av varmeelskende insektarter."
en|T25|Open historical landslide|Open historical landslide includes naturally open (treeless) sites, typically formed by a single landslide event that took place less than 100 years ago and that is not expected to recur before the succession, e.g. into forest, is completed. Most often, the major type arises due to quick clay slides, but landslides in soil, silt, sand or gravel also occur.
nb|T25|Historisk skredmark|Historisk skredmark omfatter mark dominert av jord eller fint mineralmateriale (grus, sand, silt eller leire), som er blottlagt i relativt ny tid (for < ca. 100 år siden) gjennom én disruptiv skredbegivenhet med tilstrekkelig stor romlig utstrekning til å utgjøre en egen arealenhet på natursystemnivået (se NiN[1] Artikkel 1, kapittel B3c for begrepsapparat for forstyrrelser). Historisk skredmark er resultatet av en enkeltstående forstyrrelsesbegivenhet, som ikke etterfølges av gjentatte, liknende forstyrrelsesbegivenheter og hvor og den blottlagte (mineral)jorda derfor gjennomgår rask suksesjon mot en ettersuksesjonstilstand som typisk er fastmarksskogsmark. Historisk skredmark er en sjelden naturtype som finnes hyppigst på marine leirsedimenter og steder der det har gått jordras. Skred som resulterer i historisk skredmark kan også imidlertid også forekomme i sand- eller grusdominerte morener.
en|T26|Glacier foreland|Glacier foreland includes the land between the current leading edge of glaciers and their maximum extent, typically demarcated by the terminal and/or lateral moraines of the Little Ice Age maximum which at the Norwegian mainland took place ca. year 1750 (later in the Norwegian Arctic). Because soil development and other ecosystem-forming processes are slow in alpine and arctic climates, glacier foreland still undergoes differentiation into other major types, primarily arctic-alpine heath and lee-side, snowbed, fen, spring and (below the timberline) forest, without yet having reached the post-successional stage.
nb|T26|Breforland og snøavsmeltingsområde|Breforland og snøavsmeltingsområde omfatter løsmassedekkete fastmarksarealer som har smeltet fram etter lille istids maksimum, det vil for det norske fastlandet si etter ca. 1750, for norske områder i Arktis enda seinere. Fordi dannelsen av et jordsmonn tar mye lengre tid enn 200–300 år, skiller breforland og snøavsmeltingsområde seg fra historisk eldre natursystem-hovedtyper på jorddekt fastmark ved å mangle jordsmonn helt eller skiller seg ut ved at jordsmonnet er tynt og uten tydelige sjikt. Hovedtypen omfatter arealer i langsom suksesjon, der det gjennom etablerings- og konsolideringsfasen (LA∙cdef) finner sted en gradvis differensiering i retning av normale og regionalt arealmessig viktige hovedtyper, over skoggrensa først og fremst T3 Fjellhei, leside og tundra og T7 Snøleie, men også, på steder med tilførsel av stagnerende eller bevegelig vann, mot V1 Åpen jordvannsmyr, V4 Kaldkilde eller V6 Våtsnøleie og snøleiekilde. I tidlige suksesjonstrinn (initial- og koloniseringsfasen; LA∙0ab) er de breavsatte sedimentenes dominerende kornstørrelsesfordeling en viktig bestemmende faktor for hvilken retning suksesjonen etter hvert tar.
en|T27|Boulder field|Boulder fields are areas dominated by coarse mineral material, mostly boulders but occasionally also stone or gravel. Soil is lacking or sparsely present in crevices on or between boulders. Boulder fields are typically formed in cold climates of the arctic and alpine bioclimatic zones by mechanical weathering during freeze-thaw periods or by frost upheaval that brings larger blocks to the surface. Coarse glacial deposits (Rogen moraines) are also included in this major type. Vegetation is typically restricted to saxicolous lichens, sometimes also mosses, or may be absent.
nb|T27|Blokkmark|Blokkmark er sammenhengende områder dominert av blokker eller steiner og som sporadisk kan ha innslag av finere mineralmateriale, men som stort sett mangler jordsmonn mellom blokkene. Bortsett fra steinboende lav- og mosearter er vegetasjonen svært sparsom eller mangler helt. Blokkmark kan oppstå ved forvitring på stedet (forvitringsblokkmark) eller den kan bestå av grove bresedimenter (rogenmorene), eventuelt som resultat av at finmaterialet har blitt vasket ut og/eller at blokkene har kommet opp til overflata ved oppfrysing (oppfrysingsblokkmark).
en|T28|Polar desert|Polar desert comprises gravel- and stone-dominated areas in the Arctic polar desert zone, formed by frost weathering. Material finer than gravel may be present. The vegetation is scattered and dominated by species with a high-arctic distribution.
nb|T28|Polarørken|Polarørken omfatter stein- og grusdominerte områder nord for eller høydemessig over sonen med arktisk tundra, der vegetasjonsdekket på grunn av svært lav temperatursum er fragmentarisk og der vedaktige planter samt arter fra starrfamilien mangler.
en|T29|Coastal shingle beach|Coastal shingle beach comprises naturally open (treeless) land along the coast, dominated by gravel, stones, boulders or shell deposits. This major type occurs in the geolittoral and supralittoral tidal belts but also includes open historical shorelines further inland that have not yet reached a successional end-point. The vegetation varies from barren mineral material via scattered plants to shrub-dominated patches in late-successional stages.
nb|T29|Grus- og steindominert strand og strandlinje|Grus- og steindominert strand og strandlinje omfatter åpne områder, fortrinnsvis nær kysten, med mark dominert av grus, stein eller skjellsand. Hovedtypen inkluderer de vegetasjonsfrie grus- og steinstrendene (inkludert ‘rullesteinstrender’) i supralitoralbeltet og områdene på tilsvarende substrat innenfor stranda, så lenge disse ikke har nådd ettersuksesjonsstadiet etter langvarig suksesjon mot skogsmark eller hei. Hovedtypen grus- og steindominert strand og strandlinje kan ha stor vertikal og/eller horisontal utstrekning innenfor dagens strandlinje, og inkludere fossile strandlinjer flere kilometer innenfor kysten som ennå ikke har fullført den primære suksesjonen. Suksesjonen i grus- og steindominert strand og strandlinje drives primært av landhevingen, men graden av vegetasjonsetablering og vegetasjonsutvikling på et gitt sted avhenger ikke bare av tiden siden stedet steg av havet, men i minst like stor grad av vindeksponeringen og den dominerende kornstørrelsen i marka.
en|T2|Open shallow-soil ground|Open shallow-soil ground includes ecosystems below the timberline which are naturally open (treeless) because of the shallow soil cover as such and not because of specific disturbance processes. Lime richness and risk of drought are important LECs. This major type often occurs as narrow border zones (ecotones) between bare rock and forest, e.g. along the coast.
nb|T2|Åpen grunnlendt mark|"Åpen grunnlendt mark omfatter jorddekt åpen naturmark under skoggrensa, det vil si fastmark som ikke tilfredsstiller skogsmarksdefinisjonen og som heller ikke hører inn under noen av de andre natursystem-hovedtypene på åpen naturlig mark i lavlandet (åpen flomfastmark, breforland og snøavsmeltingsområde, fuglefjell-eng, grus- og steindominert strand og strandlinje, sanddynemark, rasmark, rasmarkhei og -eng, aktiv skredmark, nakent berg, isinnfrysingsmark) og som heller ikke er semi-naturlig mark (boreal hei, kystlynghei eller semi-naturlig eng).\n\tÅpen grunnlendt mark omfatter primært borden med åpen og grunnlendt, men jorddekt fastmark som under skoggrensa skiller bergknaus fra fastmarksskogsmark. Dette er ofte (eller oftest) bare en relativt smal overgang (økoton), men iblant kan åpen grunnlendt naturmark dekke noe større sammenhengende arealer. Særlig er dette tilfellet langs kysten og langs større sjøer, der skogsmarka av ulike grunner ikke strekker seg helt ned til flommarka. Dette kan dels skyldes at miljøforholdene ikke er gunstige for vekst av trær (vindutsatthet, saltsprut etc.), men det kan også komme av at den primære suksesjonen (inkludert jordsmonndannelsen) på bergknauser går langsommere på grunn av sterk vær- og vindeksponering. \n\t Åpen grunnlendt mark er en egen natursystem-hovedtype og ikke slått sammen med nakent berg fordi nakent berg hovedsakelig huser steinboende (epilittiske) arter mens jorddekt (om enn grunnlendt) mark hovedsakelig huser epigeiske (jordboende) arter. Artssammensetningen på nakent berg og på åpen grunnlendt mark overlapper i liten grad, men de to hovedtypene forekommer ofte i en fin-skala mosaikk."
en|T30|Alluvial forest|Alluvial forest includes periodically flooded, non-wetland forest (see T4 for definition of forest) on banks of rivers and lakes, impacted by water-mediated disturbance. Alluvial processes in rivers and wave action in lakes regulates the composition of the sediment by balancing sedimentation and erosion. The dominant grain size varies from clay to stone, depending on disturbance intensity. This major type also includes sea water-influenced forests in the upper part of the tidal belt.
nb|T30|Flomskogsmark|"Flomskogsmark omfatter skogsmarksarealer i flomsonen, først og fremst langs større elver, der bredden er utsatt for forstyrrelse (erosjon og/eller sedimentasjon) forårsaket av vann i bevegelse (limnogent vann, eventuelt med kildevannstilførsel fra fastmarkssiden i tillegg). Flommark er tresatt når vannets forstyrrelseseffekt er lav nok til at vedvekster klarer å etablere seg og opprettholde stabile bestander over tid. Flomskogsmark finnes oftest som en sone mellom åpen flomfastmark og annen fastmark på landsiden av flommarkssonen. Flomskogsmarka kan være et (langvarig) stadium langs en suksesjonsgradient på steder med aktiv elvesedimentasjon og/eller representere en relativt stabil situasjon (med gitt omfang av vannforårsaket forstyrrelse) på flommark der det er balanse mellom sedimentasjon og erosjon.\n\tArtssammensetningen i flomskogsmark, også på steder der kildevannspåvirkning gjennom grunnen er lite sannsynlig, har mange arter felles med storbregne- og høgstaudedominerte (kildevannspåvirkete) fastmarkssystemer. Det indikerer at elvevannstilførsel i seg sjøl har noe av den samme effekten på artssammensetningen som framspring av friskt grunnvann."
en|T31|Boreal heath|Boreal heath includes open, semi-natural land below the climatic timberline, formed by deforestation, primarily as a result of summer farming and mining, in the 17th, 18th and 19th centuries. After deforestation, a distinctive ecosystem was formed by actively keeping the land open by clearance of shrubs and trees and low-intensity livestock grazing. The variation in species composition parallels that of forest (T4), with lime richness and risk of drought as the most important LECs, but shade-tolerant and litter-dwelling species are less prominent in boreal heath and mycorrhizal partners of forest trees are lacking. Boreal heath covers large areas in the north boreal bioclimatic zone, with decreasing areal importance towards warmer zones. Over the last decades, the management that kept boreal heaths open has ceased and boreal heaths in various stages of succession towards forest occur abundantly.
nb|T31|Boreal hei|Boreal hei omfatter åpne hei- og på kalkrik grunn svakt engpregete, først og fremst dvergbuskdominerte natursystemer uten et dominerende tresjikt. Boreal hei er formet gjennom avskoging av fastmarksskogsmark og opprettholdelse av åpen mark gjennom rydding av kratt og trær og sommerbeite med moderat beitetrykk. Boreal hei forekommer over hele landet, med arealmessig tyngdepunkt i mellomboreal og nordboreal bioklimatisk sone i indre deler av Sør-Norge.
en|T32|Semi-natural grassland|Semi-natural grassland includes meadows formed by forest clerarance followed by livestock grazing and/or haymaking, subject to the additional condition of neither being ploughed nor seeded nor heavily fertilised. The vegetation is dominated by graminoids and herbs, while nitrophilous species are not prominent. Semi-natural grassland may be open (treeless) or, also when actively managed, have an open tree layer (wooded or coppice meadows). Land management intensity, lime richness and risk of drought are the most important LECs. Since the middle of the 20th century, traditional use of semi-natural grasslands has decreased and conversion into arable fields, agriculturally improved grassland or abandonment has taken place.
nb|T32|Semi-naturlig eng|Semi-naturlig eng omfatter engpregete, åpne eller tresatte økosystemer som er formet gjennom ekstensiv (’tradisjonell’) hevd (beite og slått, eller oftest en kombinasjon av beite og slått) og bruk til jordbruksproduksjon gjennom lang tid, ofte hundrer av år. Marka i semi-naturlig eng kan, men behøver ikke, være ryddet for stein. Semi-naturlig eng omfatter arealenheter som ikke har synlige fysiske spor etter pløying eller tilsåing med for- og matvekster og som mangler eller bare har svake spor etter gjødsling og/eller sprøyting. Semi-naturlig eng kan huse et stort mangfold av arter fra mange organismegrupper, særlig karplanter, sopp og insekter.
en|T33|Semi-natural tidal and salt meadow|Semi-natural tidal and salt meadow comprises open (treeless), sea water-influenced graminoid- and herb-dominated meadows in the upper geolittoral and supralittoral tidal belts. This major type is developed from tidal and salt meadows (T12) by extensive long-term management, typically livestock grazing, which has prevented regrowth succession into forest. With decreasing sea-salt influence during land upheaval, this major type gradually transgresses into semi-natural grassland (T32).
nb|T33|Semi-naturlig strandeng|Semi-naturlig strandeng omfatter åpne, engpregete økosystemer i øvre del av fjærebeltet (midtre-øvre geolitoral og supralitoral), som er formet gjennom ekstensiv (’tradisjonell’) hevd (oftest beite, men også enkelte steder slått) og bruk til jordbruksproduksjon gjennom lang tid, ofte hundrer av år. Semi-naturlig strandeng omfatter arealenheter som ikke har synlige fysiske spor etter pløying eller tilsåing med for- og matvekster og som mangler eller bare har svake spor etter gjødsling og/eller sprøyting. Semi-naturlig strandeng skiller seg fra T32 Semi-naturlig eng ved markant innslag av salttolerante arter (halofytter) og fra T12 Strandeng ved sterkt innslag av arter typisk for semi-naturlig mark). Opphør av bruk gjør nå at semi-naturlig strandeng mange steder, særlig i Sør-Norge der takrør (Phragmites australis) er en aggressiv innvandrer. Semi-naturlige strandenger gjennomgår der mange steder suksesjon til en reinbestand av takrør som i løpet av få tiår helt kan mangle spor etter tidligere hevd. Ettersuksesjonstilstanden kan være en åpen takrør-dominert strandeng, eller etter forsumping, en helofytt-saltvannssump eller en strandsumpskog.
en|T34|Coastal heath|Coastal heath includes open coastal land, mostly dominated by Calluna vulgaris but occasionally dominated by other ericaceous species such as Empetrum nigrum and Erica tetralix. Coastal heath is conditioned on a long-term management regime that includes prescribed burning, often in combination with all-year livestock grazing and in former times also haymaking. Coastal heaths are confined to areas with a mild winter climate. Since the middle of the 20th century, traditional use of coastal heaths has decreased and extensive areas have been abandoned or replanted with trees.
nb|T34|Kystlynghei|Kystlynghei omfatter åpne heipregete økosystemer som er betinget av lyngbrenning, gjerne i kombinasjon med beiting store deler av året og/eller slått. Dominans av dvergbusker, først og fremst nøkkelarten røsslyng (Calluna vulgaris), er typisk. Røsslyng har utviklet tilpasninger til det spesielle hevdregimet som har opprettholdt kystlynghei. Det er f.eks. dokumentert gjennom eksperimentelle undersøkelser at røsslyngfrøenes spiring begunstiges av brann (røyk) i, men ikke utenfor, kystlyngheibeltet (Måren et al. 2010). Kystlyngheier kan imidlertid ha sterkt innslag også av andre lyngarter, som f.eks. krekling (Empetrum nigrum), klokkelyng (Erica tetralix) og blokkebær (Vaccinium uliginosum) og/eller av lite kalkkrevende graminider, som blåtopp (Molinia caerulea) og bjørneskjegg (Trichophorum cespitosum). Kystlyngheier i bruk mangler eller har svært sparsom forekomst av moser og lav. Kystlyngheiene er formet gjennom rydding av kratt og trær og flere tusen års hevd, der nøkkelfaktoren i hevdregimet er lyngbrenning, og hvor typisk også beiting gjennom store deler av, eller hele, vekstsesongen er viktig (se Måren & Vandvik 2009, Måren et al. 2010, og NiN[2] Artikkel 1, kapittel B3h og Fig. B3–5). Et vintermildt (oseanisk) klima er en forutsetning for en lang beitesesong, og kystlynghei er derfor først og fremst knyttet til kystnære lavlandsområder. Kystlynghei finnes i et breit belte langs kysten fra Kragerø i Telemark til Lofoten i Nordland, kanskje også på Hvaler i Østfold som en nordlig utløper av det vestsvenske lyngheiområdet. Heier betinget av lyngbrenning, som skal tilordnes kystlyngheiene, forekommer imidlertid også i høyereliggende områder litt innenfor kysten, i Dalane (Rogaland) opp til ca. 400 m o.h. (Steinnes 1988). Størstedelen av kystlynghei-arealet gror nå igjen som følge av at bruken har opphørt.
en|T35|Wasteland, extracted or deposited surficial deposit|Wasteland, extracted or deposited surficial deposit includes ground that is strongly altered by human actions, dominated by relatively fine-grained material such as soil, gravel, sand, silt and clay. The fine substrate facilitates rapid succession, starting with pioneer vegetation dominated by ruderal species. This major type includes, e.g. sand pits and gravel pits, timber storage sites, deposits of gravel and unsorted fine materials.
nb|T35|Sterkt endret fastmark med løsmassedekke|Sterkt endret fastmark med løsmassedekke omfatter all fastmark som gjennom omfattende inngrep har fått et nytt løsmassedekke som legger til rette for rask suksesjon. Omfattende inngrep er definert som ‘inngrep som medfører umiddelbar og omfattende biomassereduksjon og som vanligvis blottlegger mark/bunn for primær suksesjon’. Typiske eksempler på sterkt endret fastmark med løsmassedekke er masseuttaksområder (sandtak og grustak) og massedeponier (sand- og grustipper) med topplag av overveiende uorganisk, ikke veldig grovt, materiale som koloniseres så raskt at en ettersuksesjonstilstand kan forventes nådd i løpet av (100–)150 år. Også deponier av jordmasser som ikke er tilrettelagt for hevd (planert og tilsådd) hører til denne hovedtypen.
en|T36|Drained wetland and terrestrialised freshwater sediment|Drained wetland and terrestrialised freshwater sediment includes terrestrial ground originating by drainage of fens, bogs and mire and swamp forests, or by terrestrialisation of former sediment-beds of rivers and lakes. After establishment, drained wetland and terrestrialised freshwater sediment typically undergo rapid succession.
nb|T36|Ny fastmark på tidligere våtmark og ferskvannsbunn|"Hovedtypen omfatter irreversibelt drenerte og gjennomgripende endrete våtmarkssystemer på (tidligere) torvmark (åpne myrer, myrskogsmarker etc.), der torvnedbrytningen og endringene i det hydrologiske systemet er så omfattende at definisjonen av våtmarkssystem ikke lenger er tilfredsstilt slik at arealenheten har blitt et sterkt endret fastmarkssystem, samt tørrlagt elveleie og innsjøbunn på sedimenter slik at det ligger til rette for rask suksesjon. Tydelige spor etter arealenhetens historie som tidligere torvmark eller ferskvannssystem finnes fortsatt, f.eks. ved forekomsten av dyp, omdannet torvjord, innsjø- og elvesedimenter etc., og, for torvmarkssystemers vedkommende, at en del av våtmarkenes artssammensetning fortsatt finnes som restpopulasjoner. Det høye innholdet av organisk materiale i substratet gjør at en ettersuksesjonstilstand kan forventes nådd i løpet av (100–)150 år etter en rask suksesjon.\n\tAv disse grunnene, men også av hensyn til arealstatistikk, skal drenert tidligere våtmark og ferskvannsbunn oppfattes som grunntyper innenfor en egen natursystem-hovedtype i NiN, tilordnet fastmarkssystemer. Hovedtypen omfatter svært stor og områdespesifikk variasjon i type inngrep, historie og dermed også artssammensetning."
en|T37|Artificial soft substrate|Artificial soft substrate includes household waste deposits, spoil heaps and soft plastic and other synthetic substrates which facilitate rapid succession from pioneer vegetation dominated by ruderal species.
nb|T37|Ny fastmark på sterkt modifiserte og syntetiske substrater, i rask suksesjon|Ny fastmark på sterkt modifiserte og syntetiske substrater, i rask suksesjon, omfatter all fastmark som gjennom omfattende inngrep har fått et nytt dekke av sterkt modifiserte eller syntetiske substrater (livsmedier), og som ligger til rette for rask suksesjon. Sterkt modifiserte livsmedier omfatter substrater som er så sterkt bearbeidet eller gjennom flytting til andre omgivelser får vesentlig endring i artssammensetningen, mens syntetiske livsmedier omfatter nye livsmedier som plast og asfalt. Sterkt modifiserte og nye livsmedier gjennomgår rask suksesjon, det vil si så rask kolonisering at ettersuksesjonstilstanden kan forventes nådd i løpet av (100–)150 år, når de er tilstrekkelig myke, raskt nedbrytbare eller raskt går i oppløsning.
en|T38|Tree plantation|Tree plantation includes land with tree monocultures intensively managed for production of wood, e.g. by soil scarification, application of fertiliser and/or pesticides and/or planting of exotic tree species or native species out of their natural range, typically in so dense stands that understorey vegetation cover is substantially reduced or the ground entirely covered with needles or leaves.
nb|T38|Treplantasje|Treplantasje omfatter tresatte arealer med ‘plantasjeskogkarakter’, det vil si mark som er tilplantet (eller tilsådd) med trær av ett og samme treslag, systematisk på rekke og rad, gjerne etter markberedning. De plantete trærne skal utgjøre over 90 % av treantallet, død ved og overstandere fra tidligere (naturlig) trebestand skal mangle. Treplantasjer er alltid ensjiktet og tilnærmet ensaldret og tresjiktet kan være så tett at undervegetasjon mangler mer eller mindre fullstendig. Tiltak som gjødsling og sprøyting er vanlig, og bidrar til at artssammensetningen i treplantasjer i liten grad gjenspeiler naturgitt miljøvariasjon. Treplantasje er skogbruksparallellen til sterkt endret jordbruksmark, med biomasseproduksjon av trær som (eneste) formål. Treplantasjer karakteriseres ikke som skogsmark fordi de ikke utgjør helhetlige økosystemer.
en|T39|Strongly altered or artificial hard substrate|Strongly altered or artificial hard substrate includes quarries, buildings and other surfaces composed of natural or artificial, e.g. synthetic, hard substrates on which colonisation proceeds slowly and is expected to continue for > 150 years. Examples of synthetic hard materials are aluminum, iron and steel, glass, some hard plastics and reinforced concrete.
